Description;Spanish;Spanish;Portuguese;Portuguese
Description;Spelling;Pronunciation;Spelling;Pronunciation
palatal ""l"";ll;? (~ ?)[67];lh;?
palatal ""n"";ñ;?;nh;? (EP), j? (BP)
palatal ""y"";y;?;i;j
