;;Trident;Tasman;Gecko;WebKit;KHTML;Presto
Exception LSException;Exception LSException;Exception LSException;Exception LSException;Exception LSException;Exception LSException;Exception LSException;Exception LSException
code;DOM3;No;No;No[g 13];No;No;1.0
Interface DOMImplementationLS;Interface DOMImplementationLS;Interface DOMImplementationLS;Interface DOMImplementationLS;Interface DOMImplementationLS;Interface DOMImplementationLS;Interface DOMImplementationLS;Interface DOMImplementationLS
createLSParser();DOM3;No;No;No;No;No;1.0
createLSSerializer();DOM3;No;No;No;No;No;1.0
createLSInput();DOM3;No;No;No;No;No;1.0
createLSOutput();DOM3;No;No;No;No;No;1.0
Interface LSParser;Interface LSParser;Interface LSParser;Interface LSParser;Interface LSParser;Interface LSParser;Interface LSParser;Interface LSParser
domConfig;DOM3;No;No;No;No;No;1.0
filter;DOM3;No;No;No;No;No;1.0
async;DOM3;No;No;No;No;No;1.0
busy;DOM3;No;No;No;No;No;1.0
parse();DOM3;No;No;No;No;No;1.0
parseURI();DOM3;No;No;No;No;No;1.0
parseWithContext();DOM3;No;No;No;No;No;1.0
abort();DOM3;No;No;No;No;No;1.0
Interface LSInput;Interface LSInput;Interface LSInput;Interface LSInput;Interface LSInput;Interface LSInput;Interface LSInput;Interface LSInput
characterStream;DOM3;No;No;No;No;No;1.0
byteStream;DOM3;No;No;No;No;No;1.0
stringData;DOM3;No;No;No;No;No;1.0
systemId;DOM3;No;No;No;No;No;1.0
publicId;DOM3;No;No;No;No;No;1.0
baseURI;DOM3;No;No;No;No;No;1.0
encoding;DOM3;No;No;No;No;No;1.0
certifiedText;DOM3;No;No;No;No;No;1.0
Interface LSResourceResolver;Interface LSResourceResolver;Interface LSResourceResolver;Interface LSResourceResolver;Interface LSResourceResolver;Interface LSResourceResolver;Interface LSResourceResolver;Interface LSResourceResolver
resolveResource();DOM3;No;No;No;No;No;No
Interface LSParserFilter;Interface LSParserFilter;Interface LSParserFilter;Interface LSParserFilter;Interface LSParserFilter;Interface LSParserFilter;Interface LSParserFilter;Interface LSParserFilter
whatToShow;DOM3;No;No;No;No;No;No
startElement();DOM3;No;No;No;No;No;2.0
acceptNode();DOM3;No;No;No;No;No;2.0
Interface LSProgressEvent;Interface LSProgressEvent;Interface LSProgressEvent;Interface LSProgressEvent;Interface LSProgressEvent;Interface LSProgressEvent;Interface LSProgressEvent;Interface LSProgressEvent
input;DOM3;No;No;No;No;No;No
position;DOM3;No;No;No;No;No;No
totalSize;DOM3;No;No;No;No;No;No
Interface LSLoadEvent;Interface LSLoadEvent;Interface LSLoadEvent;Interface LSLoadEvent;Interface LSLoadEvent;Interface LSLoadEvent;Interface LSLoadEvent;Interface LSLoadEvent
newDocument;DOM3;No;No;No;No;No;2.0
input;DOM3;No;No;No;No;No;No
Interface LSSerializer;Interface LSSerializer;Interface LSSerializer;Interface LSSerializer;Interface LSSerializer;Interface LSSerializer;Interface LSSerializer;Interface LSSerializer
domConfig;DOM3;No;No;No;No;No;1.0
newLine;DOM3;No;No;No;No;No;1.0
filter;DOM3;No;No;No;No;No;1.0
write();DOM3;No;No;No;No;No;1.0
writeToURI();DOM3;No;No;No;No;No;1.0
writeToString();DOM3;No;No;No;No;No;1.0
Interface LSOutput;Interface LSOutput;Interface LSOutput;Interface LSOutput;Interface LSOutput;Interface LSOutput;Interface LSOutput;Interface LSOutput
characterStream;DOM3;No;No;No;No;No;1.0
byteStream;DOM3;No;No;No;No;No;1.0
systemId;DOM3;No;No;No;No;No;1.0
encoding;DOM3;No;No;No;No;No;1.0
Interface LSSerializerFilter;Interface LSSerializerFilter;Interface LSSerializerFilter;Interface LSSerializerFilter;Interface LSSerializerFilter;Interface LSSerializerFilter;Interface LSSerializerFilter;Interface LSSerializerFilter
whatToShow;DOM3;No;No;No;No;No;No
