;;Trident;Tasman;Gecko;WebKit;KHTML;Presto
Interface Range;Interface Range;Interface Range;Interface Range;Interface Range;Interface Range;Interface Range;Interface Range
startContainer;DOM2;No;?;1.0;Yes;?;1.0
startOffset;DOM2;No;?;1.0;Yes;?;1.0
endContainer;DOM2;No;?;1.0;Yes;?;1.0
endOffset;DOM2;No;?;1.0;Yes;?;1.0
collapsed;DOM2;No;?;1.0;Yes;?;1.0
commonAncestorContainer;DOM2;No;?;1.0;Yes;?;1.0
setStart();DOM2;No;?;1.0;Yes;?;1.0
setEnd();DOM2;No;?;1.0;Yes;?;1.0
setStartBefore();DOM2;No;?;1.0;Yes;?;1.0
setStartAfter();DOM2;No;?;1.0;Yes;?;1.0
setEndBefore();DOM2;No;?;1.0;Yes;?;1.0
setEndAfter();DOM2;No;?;1.0;Yes;?;1.0
collapse();DOM2;No;?;1.0;Yes;?;1.0
selectNode();DOM2;No;?;1.0;Yes;?;1.0
selectNodeContents();DOM2;No;?;1.0;Yes;?;1.0
compareBoundaryPoints();DOM2;No;?;1.0;Yes;?;1.0
deleteContents();DOM2;No;?;1.0;Yes;?;1.0
extractContents();DOM2;No;?;1.0;Yes;?;1.0
cloneContents();DOM2;No;?;1.0;Yes;?;1.0
insertNode();DOM2;No;?;1.0;Yes;?;1.0
surroundContents();DOM2;No;?;1.0;Yes;?;1.0
cloneRange();DOM2;No;?;1.0;Yes;?;1.0
toString();DOM2;No;?;1.0;Yes;?;1.0
detach();DOM2;No;?;1.0;Yes;?;1.0
Interface DocumentRange;Interface DocumentRange;Interface DocumentRange;Interface DocumentRange;Interface DocumentRange;Interface DocumentRange;Interface DocumentRange;Interface DocumentRange
createRange();DOM2;No;?;1.0;No;?;1.0
Exception RangeException;Exception RangeException;Exception RangeException;Exception RangeException;Exception RangeException;Exception RangeException;Exception RangeException;Exception RangeException
code;DOM2;No;?;1.0;Yes;?;1.0
