;;Trident;Tasman;Gecko;WebKit;KHTML;Presto
Interface HTMLCollection;Interface HTMLCollection;Interface HTMLCollection;Interface HTMLCollection;Interface HTMLCollection;Interface HTMLCollection;Interface HTMLCollection;Interface HTMLCollection
length;DOM1;7.0;?;1.0;?;?;1.0
item();DOM1;7.0;?;1.0;?;?;1.0
namedItem();DOM1;7.0;?;1.0;?;?;1.0
Interface HTMLOptionsCollection;Interface HTMLOptionsCollection;Interface HTMLOptionsCollection;Interface HTMLOptionsCollection;Interface HTMLOptionsCollection;Interface HTMLOptionsCollection;Interface HTMLOptionsCollection;Interface HTMLOptionsCollection
length;DOM2;?;?;1.0;?;?;2.0
item();DOM2;?;?;1.0;?;?;2.0
namedItem();DOM2;?;?;1.0;?;?;2.0
Interface HTMLDocument;Interface HTMLDocument;Interface HTMLDocument;Interface HTMLDocument;Interface HTMLDocument;Interface HTMLDocument;Interface HTMLDocument;Interface HTMLDocument
domain;DOM1;4.0;Yes;1.0;Yes;?;1.0
URL;DOM1;4.0;Yes;1.0;Yes;?;1.0
body;DOM1;4.0;Yes;1.0;Yes;?;1.0
images;DOM1;4.0;Yes;1.0;Yes;?;1.0
applets;DOM1;4.0;Yes;1.0;Yes;?;1.0
title;DOM1;3.0;Yes;1.0;Yes;?;1.0
referrer;DOM1;3.0;Yes;1.0;Yes;?;1.0
links;DOM1;3.0;Yes;1.0;Yes;?;1.0
forms;DOM1;3.0;Yes;1.0;Yes;?;1.0
anchors;DOM1;3.0;Yes;1.0;Yes;?;1.0
cookie;DOM1;3.0;Yes;1.0;Yes;?;1.0
open();DOM1;3.0;Yes;1.0;Yes;?;1.0
close();DOM1;3.0;Yes;1.0;Yes;?;1.0
write();DOM1;3.0;Yes;1.0;Yes;?;1.0
writeln();DOM1;3.0;Yes;1.0;Yes;?;1.0
getElementsByName();DOM1;Yes;?;1.0;Yes;?;1.0
Interface HTMLElement;Interface HTMLElement;Interface HTMLElement;Interface HTMLElement;Interface HTMLElement;Interface HTMLElement;Interface HTMLElement;Interface HTMLElement
id;DOM1;4.0;Yes;1.0;?;?;1.0
title;DOM1;4.0;Yes;1.0;?;?;1.0
lang;DOM1;4.0;Yes;1.0;?;?;1.0
className;DOM1;4.0;Yes;1.0;?;?;1.0
dir;DOM1;5.0;Yes;1.0;?;?;1.0
Interface HTMLHtmlElement;Interface HTMLHtmlElement;Interface HTMLHtmlElement;Interface HTMLHtmlElement;Interface HTMLHtmlElement;Interface HTMLHtmlElement;Interface HTMLHtmlElement;Interface HTMLHtmlElement
version;DOM1;6.0;?;1.0;?;?;2.0
Interface HTMLHeadElement;Interface HTMLHeadElement;Interface HTMLHeadElement;Interface HTMLHeadElement;Interface HTMLHeadElement;Interface HTMLHeadElement;Interface HTMLHeadElement;Interface HTMLHeadElement
profile;DOM1;8.0;?;1.0;?;?;1.0
Interface HTMLLinkElement;Interface HTMLLinkElement;Interface HTMLLinkElement;Interface HTMLLinkElement;Interface HTMLLinkElement;Interface HTMLLinkElement;Interface HTMLLinkElement;Interface HTMLLinkElement
disabled;DOM1;4.0;Yes;1.0;?;?;1.0
charset;DOM1;4.0;Yes;1.0;?;?;1.0
href;DOM1;8.0;Yes;1.0;?;?;1.0
hreflang;DOM1;4.0;Yes;1.0;?;?;1.0
media;DOM1;4.0;Yes;1.0;?;?;1.0
