Editor;Screenshot;Video Tutorial
LyX;Screenshot /wiki/File:LyX15.png;
Texmaker;Screenshot of Texmaker version 4.5 /wiki/File:Screenshot_20180131_131842.png;
TeXstudio;Screenshot of TeXstudio (2.12.6) /wiki/File:TeXstudio_2.12.6.png;
Editor;Screenshot;Video Tutorial
