Model;Launch;Code Name;Archi- tecture;Fab (nm);Transistors (Billion);Die Size (mm2);Bus interface;Clock rate;Clock rate;Clock rate;Core config[a];Fillrate;Fillrate;Memory;Memory;Memory;Memory;Processing Power (GFLOPS);Processing Power (GFLOPS);Processing Power (GFLOPS);TDP (Watts);API support (version)
Model;Launch;Code Name;Archi- tecture;Fab (nm);Transistors (Billion);Die Size (mm2);Bus interface;Core (MHz);Boost (MHz);Memory (MT/s);Core config[a];Pixel (GP/s) (Boost)[b];Texture (GT/s) (Boost)[c];Size (GiB);Bus width (bit);Bus type;Bandwidth (GB/s);Half Precision (Boost);Single Precision (Boost)[d];Double Precision;TDP (Watts);OpenCL
Radeon Instinct MI6 [321][322][323][324][325];2016-12-12;Polaris 10;GCN 4th gen;14;5.7;232;PCIe 3.0 x16;1120;1233;1750 7000 eff;2304:144:32:36;39.46;177.6;16;256;GDDR5;224;5800;5800;358;150;2.0
Radeon Instinct MI8 [321][322][323][326][327];2016-12-12;Fiji XT;GCN 3rd gen;28;8.9;596;PCIe 3.0 x16;1000;1000;1000;4096:256:64:64;64.0;256.0;4;4096;HBM;512;8200;8200;512;175;2.0
Radeon Instinct MI25 [321][322][323][328][329][330];2016-12-12;Vega 10 XT;GCN 5th gen;14;12.5;510;PCIe 3.0 x16;1400;1500;1704;4096:256:64:64;96.0;384;16;2048;HBM2;436.2;24600;12300;768;300;2.0
Radeon Instinct MI25 mxgpu (Prototype, near equal Radeon Pro V340 mxgpu)[331];2017-06-17;Vega 10 XT;GCN 5th gen;14;2x 12.5;2x 510;PCIe 3.0 x16;1400 ?;1500 ?;1704;2x 4096:256:64:64;2x 96.0 ?;2x 384 ?;16;2048;HBM2;2x 436.2;2x 24600 ?;2x 12300 ?;2x 768 ?;300;2.0
