Candidat;1er tour;1er tour;2e tour;2e tour
Candidat;Rennes;National;Rennes;National
Nicolas Sarkozy;23,24 %;31,18 %;37,29 %;53,06 %
Ségolène Royal;38,02 %;25,87 %;62,71 %;46,94 %
François Bayrou;22,26 %;18,57 %;;
Olivier Besancenot;4,45 %;4,08 %;;
Jean-Marie Le Pen;4,01 %;10,44 %;;
Votants;85,99 %;83,77 %;85,31 %;83,97 %
