;;Trident;Tasman;Gecko;WebKit;KHTML;Presto
Interface CSSStyleSheet;Interface CSSStyleSheet;Interface CSSStyleSheet;Interface CSSStyleSheet;Interface CSSStyleSheet;Interface CSSStyleSheet;Interface CSSStyleSheet;Interface CSSStyleSheet
ownerRule;DOM2;No;?;1.0;?;?;2.0
cssRules;DOM2;No;Yes;1.0;1.3;?;2.0
insertRule();DOM2;No;No;1.0;No;?;2.0
deleteRule();DOM2;No;No;1.0;No;?;2.0
Interface StyleSheetList;Interface StyleSheetList;Interface StyleSheetList;Interface StyleSheetList;Interface StyleSheetList;Interface StyleSheetList;Interface StyleSheetList;Interface StyleSheetList
length;DOM2;6.0;?;1.0;?;?;2.0
item();DOM2;6.0;?;1.0;?;?;2.0
Interface CSSRuleList;Interface CSSRuleList;Interface CSSRuleList;Interface CSSRuleList;Interface CSSRuleList;Interface CSSRuleList;Interface CSSRuleList;Interface CSSRuleList
length;DOM2;No;?;1.0;?;?;2.0
item();DOM2;No;?;1.0;?;?;2.0
Interface CSSRule;Interface CSSRule;Interface CSSRule;Interface CSSRule;Interface CSSRule;Interface CSSRule;Interface CSSRule;Interface CSSRule
type;DOM2;No;?;1.0;?;?;2.0
cssText;DOM2;No;Yes;1.0;?;?;2.0
parentStyleSheet;DOM2;No;Yes;1.0;1.3;?;2.0
parentRule;DOM2;No;?;1.0;?;?;2.0
Interface CSSStyleRule;Interface CSSStyleRule;Interface CSSStyleRule;Interface CSSStyleRule;Interface CSSStyleRule;Interface CSSStyleRule;Interface CSSStyleRule;Interface CSSStyleRule
selectorText;DOM2;6.0;Yes;1.0;1.3;?;2.0
style;DOM2;No;?;1.0;?;?;2.0
Interface CSSMediaRule;Interface CSSMediaRule;Interface CSSMediaRule;Interface CSSMediaRule;Interface CSSMediaRule;Interface CSSMediaRule;Interface CSSMediaRule;Interface CSSMediaRule
media;DOM2;No;?;1.0;?;?;2.0
cssRules;DOM2;No;?;1.0;?;?;2.0
insertRule();DOM2;No;?;1.0;?;?;2.0
deleteRule();DOM2;No;?;1.0;?;?;2.0
Interface CSSFontFaceRule;Interface CSSFontFaceRule;Interface CSSFontFaceRule;Interface CSSFontFaceRule;Interface CSSFontFaceRule;Interface CSSFontFaceRule;Interface CSSFontFaceRule;Interface CSSFontFaceRule
style;DOM2;No;?;1.9.1[g 3];?;?;2.0
Interface CSSPageRule;Interface CSSPageRule;Interface CSSPageRule;Interface CSSPageRule;Interface CSSPageRule;Interface CSSPageRule;Interface CSSPageRule;Interface CSSPageRule
selectorText;DOM2;No;?;No[g 4];?;?;2.0
style;DOM2;No;?;No[g 4];?;?;2.0
Interface CSSImportRule;Interface CSSImportRule;Interface CSSImportRule;Interface CSSImportRule;Interface CSSImportRule;Interface CSSImportRule;Interface CSSImportRule;Interface CSSImportRule
href;DOM2;No;Yes;1.0;1.3;?;2.0
media;DOM2;No;?;1.0;?;?;2.0
styleSheet;DOM2;No;?;1.0;?;?;2.0
Interface CSSCharsetRule;Interface CSSCharsetRule;Interface CSSCharsetRule;Interface CSSCharsetRule;Interface CSSCharsetRule;Interface CSSCharsetRule;Interface CSSCharsetRule;Interface CSSCharsetRule
encoding;DOM2;No;?;1.0;?;?;2.0
Interface CSSUnknownRule;Interface CSSUnknownRule;Interface CSSUnknownRule;Interface CSSUnknownRule;Interface CSSUnknownRule;Interface CSSUnknownRule;Interface CSSUnknownRule;Interface CSSUnknownRule
(no properties);DOM2;No;?;No[g 5];?;?;2.0
Interface CSSStyleDeclaration;Interface CSSStyleDeclaration;Interface CSSStyleDeclaration;Interface CSSStyleDeclaration;Interface CSSStyleDeclaration;Interface CSSStyleDeclaration;Interface CSSStyleDeclaration;Interface CSSStyleDeclaration
cssText;DOM2;No;?;1.0;?;?;2.0
length;DOM2;No;?;1.0;?;?;2.0
parentRule;DOM2;No;?;1.0;?;?;2.0
getPropertyValue();DOM2;No;Yes;1.0;1.3;?;1.0
getPropertyCSSValue();DOM2;No;?;No[g 6];?;?;2.0
removeProperty();DOM2;No;No;1.0;1.3;?;1.0
getPropertyPriority();DOM2;No;Incorrect;1.0;?;?;2.0
setProperty();DOM2;No;Yes;1.0;1.3;?;1.0
item();DOM2;No;?;1.0;?;?;2.0
Interface CSSValue;Interface CSSValue;Interface CSSValue;Interface CSSValue;Interface CSSValue;Interface CSSValue;Interface CSSValue;Interface CSSValue
cssText;DOM2;No;?;No[g 6];?;?;No
cssValueType;DOM2;No;?;No[g 6];?;?;No
Interface CSSPrimitiveValue;Interface CSSPrimitiveValue;Interface CSSPrimitiveValue;Interface CSSPrimitiveValue;Interface CSSPrimitiveValue;Interface CSSPrimitiveValue;Interface CSSPrimitiveValue;Interface CSSPrimitiveValue
primitiveType;DOM2;No;?;No[g 7];?;?;No
setFloatValue();DOM2;No;?;No;?;?;No
getFloatValue();DOM2;No;?;No;?;?;No
setStringValue();DOM2;No;?;No;?;?;No
getStringValue();DOM2;No;?;No;?;?;No
getCounterValue();DOM2;No;?;No;?;?;No
getRectValue();DOM2;No;?;No;?;?;No
getRGBColorValue();DOM2;No;?;No;?;?;No
Interface CSSValueList;Interface CSSValueList;Interface CSSValueList;Interface CSSValueList;Interface CSSValueList;Interface CSSValueList;Interface CSSValueList;Interface CSSValueList
length;DOM2;No;?;No;?;?;No
item();DOM2;No;?;No;?;?;No
Interface RGBColor;Interface RGBColor;Interface RGBColor;Interface RGBColor;Interface RGBColor;Interface RGBColor;Interface RGBColor;Interface RGBColor
red;DOM2;No;?;No;?;?;No
green;DOM2;No;?;No;?;?;No
blue;DOM2;No;?;No;?;?;No
Interface Rect;Interface Rect;Interface Rect;Interface Rect;Interface Rect;Interface Rect;Interface Rect;Interface Rect
top;DOM2;No;?;No;?;?;No
right;DOM2;No;?;No;?;?;No
bottom;DOM2;No;?;No;?;?;No
left;DOM2;No;?;No;?;?;No
Interface Counter;Interface Counter;Interface Counter;Interface Counter;Interface Counter;Interface Counter;Interface Counter;Interface Counter
identifier;DOM2;No;?;No;?;?;No
listStyle;DOM2;No;?;No;?;?;No
separator;DOM2;No;?;No;?;?;No
