;;Trident;Tasman;Gecko;WebKit;KHTML;Presto
Interface CDATASection;Interface CDATASection;Interface CDATASection;Interface CDATASection;Interface CDATASection;Interface CDATASection;Interface CDATASection;Interface CDATASection
(no properties);DOM1;No;No;1.0;Yes;?;2.0
Interface DocumentType;Interface DocumentType;Interface DocumentType;Interface DocumentType;Interface DocumentType;Interface DocumentType;Interface DocumentType;Interface DocumentType
name;DOM1;No;No;1.0;Yes;?;1.0
entities;DOM1;No;No;No[g 2];Yes;?;1.0
notations;DOM1;No;No;No[g 2];Yes;?;1.0
publicId;DOM2;No;No;1.0;Yes;?;1.0
systemId;DOM2;No;No;1.0;Yes;?;1.0
internalSubset;DOM2;No;No;1.0;Yes;?;1.0
Interface Notation;Interface Notation;Interface Notation;Interface Notation;Interface Notation;Interface Notation;Interface Notation;Interface Notation
publicId;DOM1;No;No;1.0;Yes;?;2.0
systemId;DOM1;No;No;1.0;Yes;?;2.0
Interface Entity;Interface Entity;Interface Entity;Interface Entity;Interface Entity;Interface Entity;Interface Entity;Interface Entity
publicId;DOM1;No;No;1.0;Yes;?;No
systemId;DOM1;No;No;1.0;Yes;?;No
notationName;DOM1;No;No;1.0;Yes;?;No
inputEncoding;DOM3;No;No;No;No;?;No
xmlEncoding;DOM3;No;No;No;No;?;No
xmlVersion;DOM3;No;No;No;No;?;No
Interface EntityReference;Interface EntityReference;Interface EntityReference;Interface EntityReference;Interface EntityReference;Interface EntityReference;Interface EntityReference;Interface EntityReference
(no properties);DOM1;No;No;1.0;Yes;?;No
Interface ProcessingInstruction;Interface ProcessingInstruction;Interface ProcessingInstruction;Interface ProcessingInstruction;Interface ProcessingInstruction;Interface ProcessingInstruction;Interface ProcessingInstruction;Interface ProcessingInstruction
target;DOM1;No;No;1.0;Yes;?;2.0
data;DOM1;No;No;1.0;Yes;?;2.0
