Architecture;Family;Code Name;Model Group;Speed (MHz);Socket;Process (nm);Cores;FSB/HT(MHz);Cache (KiB);Cache (KiB);Cache (KiB);Memory Controller;Features;Features;Features
Architecture;Family;Code Name;Model Group;Speed (MHz);Socket;Process (nm);Cores;FSB/HT(MHz);L1;L2;L3;Memory Controller;SIMD;Speed/Power;Other
K8;Athlon 64 FX;Toledo;FX-62;2800;Socket 939;90;2;1000;64+64;1024;;DDR;MMX, 3DNow!+, SSE, SSE2, SSE3;Cool'n'Quiet;AMD64, NX Bit
K8;Athlon 64 FX;Windsor;FX-60;2600;Socket AM2;90;2;1000;64+64;1024;;DDR2;MMX, 3DNow!+, SSE, SSE2, SSE3;Cool'n'Quiet;AMD64, NX Bit, AMD-V
K8;Athlon 64 FX;Windsor;FX-70, FX-72, FX-74;2600, 2800, 3000;Socket F;90;2;1000;64+64;1024;;DDR2;MMX, 3DNow!+, SSE, SSE2, SSE3;Cool'n'Quiet;AMD64, NX Bit, AMD-V
K8;Athlon 64;Clawhammer;;2000-2600;Socket 754;130;1;800;64+64;1024;;DDR;MMX, 3DNow!+, SSE, SSE2;Cool'n'Quiet;AMD64, NX Bit (not in CG stepping)
K8;Athlon 64;Clawhammer;;2000-2600;Socket 939;130;1;1000;64+64;1024;;DDR;MMX, 3DNow!+, SSE, SSE2;Cool'n'Quiet;AMD64, NX Bit (not in CG stepping)
K8;Athlon 64;Newcastle;;1800-2400;Socket 754;130;1;800;64+64;512;;DDR;MMX, 3DNow!+, SSE, SSE2;Cool'n'Quiet;AMD64, NX Bit
K8;Athlon 64;Newcastle;;1800-2400;Socket 939;130;1;1000;64+64;512;;DDR;MMX, 3DNow!+, SSE, SSE2;Cool'n'Quiet;AMD64, NX Bit
K8;Athlon 64;Winchester;;1800-2200;Socket 939;90;1;1000;64+64;512;;DDR;MMX, 3DNow!+, SSE, SSE2;Cool'n'Quiet;AMD64, NX Bit
K8;Athlon 64;Venice;;1800-2400;Socket 754;90;1;800;64+64;512;;DDR2;MMX, 3DNow!+, SSE, SSE2, SSE3;Cool'n'Quiet;AMD64, NX Bit
K8;Athlon 64;Venice;;1800-2400;Socket 939;90;1;1000;64+64;512;;DDR2;MMX, 3DNow!+, SSE, SSE2, SSE3;Cool'n'Quiet;AMD64, NX Bit
K8;Athlon 64;San Diego;;2200-2600;Socket 939;90;1;1000;64+64;1024;;DDR2;MMX, 3DNow!+, SSE, SSE2, SSE3;Cool'n'Quiet;AMD64, NX Bit
K8;Athlon 64;Orleans;;1800-2600;Socket AM2;90;1;1000;64+64;512;;DDR2;MMX, 3DNow!+, SSE, SSE2, SSE3;Cool'n'Quiet;AMD64, NX Bit, AMD-V
K8;Athlon 64;Lima;;2000-2800;Socket AM2;65;1;1000;64+64;512;;DDR2;MMX, 3DNow!+, SSE, SSE2, SSE3;Cool'n'Quiet;AMD64, NX Bit, AMD-V
K8;Athlon 64 X2;Manchester;3600+;2000;Socket 939;90;2;1000;64+64;256 PC, FS;;DDR;MMX, 3DNow!+, SSE, SSE2, SSE3;Cool'n'Quiet;AMD64, NX Bit
K8;Athlon 64 X2;Manchester;3800+, 4200+, 4600+;2000, 2200, 2400;Socket 939;90;2;1000;64+64;512 PC, FS;;DDR;MMX, 3DNow!+, SSE, SSE2, SSE3;Cool'n'Quiet;AMD64, NX Bit
K8;Athlon 64 X2;Toledo;3800+, 4200+, 4600+;2000, 2200, 2400;Socket 939;90;2;1000;64+64;512 PC, FS;;DDR;MMX, 3DNow!+, SSE, SSE2, SSE3;Cool'n'Quiet;AMD64, NX Bit
K8;Athlon 64 X2;Toledo;4400+, 4800+;2200, 2400;Socket 939;90;2;1000;64+64;1024 PC, FS;;DDR;MMX, 3DNow!+, SSE, SSE2, SSE3;Cool'n'Quiet;AMD64, NX Bit
K8;Athlon 64 X2;Windsor;3600+;2000;Socket AM2;90;2;1000;64+64;256 PC, FS;;DDR2;MMX, 3DNow!+, SSE, SSE2, SSE3;Cool'n'Quiet;AMD64, NX Bit, AMD-V
K8;Athlon 64 X2;Windsor;3800+, 4200+, 4600+, 5000+, 5400+;2000, 2200, 2400, 2600, 2800;Socket AM2;90;2;1000;64+64;512 PC, FS;;DDR2;MMX, 3DNow!+, SSE, SSE2, SSE3;Cool'n'Quiet;AMD64, NX Bit, AMD-V
K8;Athlon 64 X2;Windsor;4000+, 4400+, 4800+, 5200+, 5600+, 6000+, 6400+;2000, 2200, 2400, 2600, 2800, 3000, 3200;Socket AM2;90;2;1000;64+64;1024 PC, FS;;DDR2;MMX, 3DNow!+, SSE, SSE2, SSE3;Cool'n'Quiet;AMD64, NX Bit, AMD-V
