;;Trident;Tasman;Gecko;WebKit;KHTML;Presto
Interface NodeIterator;Interface NodeIterator;Interface NodeIterator;Interface NodeIterator;Interface NodeIterator;Interface NodeIterator;Interface NodeIterator;Interface NodeIterator
root;DOM2;No;?;1.9.1;?;?;1.0
whatToShow;DOM2;No;?;1.9.1;?;?;1.0
filter;DOM2;No;?;1.9.1;?;?;1.0
expandEntityReferences;DOM2;No;?;1.9.1;?;?;1.0
nextNode();DOM2;Yes;?;1.9.1;?;?;2.0
previousNode();DOM2;Yes;?;1.9.1;?;?;2.0
detach();DOM2;No;?;1.9.1;?;?;1.0
Interface NodeFilter;Interface NodeFilter;Interface NodeFilter;Interface NodeFilter;Interface NodeFilter;Interface NodeFilter;Interface NodeFilter;Interface NodeFilter
acceptNode();DOM2;No;?;1.0;?;?;1.0
Interface TreeWalker;Interface TreeWalker;Interface TreeWalker;Interface TreeWalker;Interface TreeWalker;Interface TreeWalker;Interface TreeWalker;Interface TreeWalker
root;DOM2;No;?;1.0;?;?;1.0
whatToShow;DOM2;No;?;1.0;?;?;1.0
filter;DOM2;No;?;1.0;?;?;1.0
expandEntityReferences;DOM2;No;?;1.0;?;?;1.0
currentNode;DOM2;No;?;1.0;?;?;1.0
parentNode();DOM2;No;?;1.0;?;?;1.0
firstChild();DOM2;No;?;1.0;?;?;1.0
lastChild();DOM2;No;?;1.0;?;?;1.0
previousSibling();DOM2;No;?;1.0;?;?;1.0
nextSibling();DOM2;No;?;1.0;?;?;1.0
previousNode();DOM2;No;?;1.0;?;?;1.0
nextNode();DOM2;No;?;1.0;?;?;1.0
Interface DocumentTraversal;Interface DocumentTraversal;Interface DocumentTraversal;Interface DocumentTraversal;Interface DocumentTraversal;Interface DocumentTraversal;Interface DocumentTraversal;Interface DocumentTraversal
createNodeIterator();DOM2;No;?;1.9.1;?;?;1.0
createTreeWalker();DOM2;No;?;1.0;?;?;1.0
