v t e|Consumer|Consumer|Professional|Professional
Portables|MacBook 12"" (retina) model; uses Intel Core M processors /wiki/File:MacBook_with_Retina_Display.png|MacBook Air 13.3"" (non-retina) model; uses Intel Core i5 or i7 processors /wiki/File:Macbook_Air.jpg|MacBook Pro 13.3"" (retina P3) and 15.4"" (retina and retina P3) models; uses Intel Core i5, i7, or i9 processors /wiki/File:MacBook_Pro_Retina_001.jpg|Desktops
Mac Mini Entry-level desktop; uses Intel Core i5 or i7 processors /wiki/File:Mac_Mini_2010.png|iMac 21.5"" (non-retina and 4K P3) and 27"" (5K P3) models; uses Intel Core i5 or i7 processors /wiki/File:Imac_16-9.png|iMac Pro 27"" (5K P3) model; uses Intel Xeon W processors /wiki/File:IMac_Pro.svg|Mac Pro Customizable workstation desktop; uses Intel Xeon E5 processors /wiki/File:2013_Mac_Pro.png|
