Tracker:Programming Language:License:IPv4:IPv6:Operating System Support:Description
MLDonkey:OCaml:[[GPL]]:yes::Windows, OS X, Unix-like, Morph OS:Has a built-in tracker and announcement service
MonoTorrent:C#:[[MIT License|MIT]]:yes::Windows, Mac OS, Unix-like:Uses Mono for cross-platform support (.NET)
Opentracker:C:[[Beerware]]:yes:yes (IPv4 and IPv6 have separate binaries and processes that do not share any information between them. If a client communicates to the tracker over IPv6, it will only receive IPv6 addresses in the response.):Unix-like (source code only):Uses libowfat, performs well even on embedded hardware. Only requirement is a POSIX compliant OS. Supports only a compact peer list.
PeerTracker:PHP:[[GPL]]:yes::Web application:Extremely lightweight and efficient BitTorrent tracker. Supports SQLite3, and MySQL for storage.
?Torrent:C++:[[Freeware]]:yes::Windows, OS X, Linux, Android:Does not have a list of hosted torrents.
qBittorrent:C++:[[GPLv2]]:yes::Windows, OS X, Unix-like, OS/2:Lightweight. Supports DHT, PEX, announcements via UDP. Does not have a web interface or list of hosted torrents; it is not designed for secure or large-scale application.
Vuze:Java:[[Vuze#License change|Disputed]]:yes::Windows, Mac OS, Linux:Vuze (formerly Azureus) has a built in tracker.
XBT Tracker:C++:[[GPL]]:yes::Windows, Linux:Uses MySQL for data storage, lightweight tracker
