Client;Creator;First public release date;Latest stable version;Software license;Copy files over 2GB
CoreFTP;CoreFTP.com;2003;2.2 (build 1751) 27;Freeware;yes
Fetch;Fetch Softworks;1989;5.7.7 2;Proprietary;yes
 ;Monsta Limited;2013;2.8 6;Proprietary;yes
Secure FTP;Glub Tech;1999;2.6.2 27;Apache;yes
Sysax FTP Automation;Codeorigin, LLC;2005;5.31 12;Proprietary;yes
Xftp;Netsarang Computer, Inc.;2004;6.0 Build 0103 11;Proprietary;yes
 ;sFTP Client Ltd;2013;3.1.6 18;Proprietary;yes
