Name;License;Deployment;Platforms
draw.io;free and open source;various;Any supported browser, Linux, Windows, macOS
Cacoo (Software);Proprietary;SaaS;Windows, macOS
ConceptDraw PRO;Proprietary;Desktop;Windows, macOS
Creately;Proprietary;Desktop;Cross Platform
Archbee;Proprietary;SaaS;Linux, macOS, Windows
Edraw Network Diagram;Proprietary;Desktop;Linux, Windows, macOS
Microsoft Visio;Proprietary;Desktop;Windows
MyDraw;Proprietary;Desktop;Windows, macOS
SmartDraw;Proprietary;Desktop;Windows
Lucidchart;Proprietary;SaaS;Linux, macOS, Windows
Gliffy;Proprietary;SaaS;Linux, macOS, Windows
