; Trident; Gecko; WebKit; KHTML; Presto
Unordered and ordered lists;Unordered and ordered lists;Unordered and ordered lists;Unordered and ordered lists;Unordered and ordered lists;Unordered and ordered lists
ul;rowspan=""3"" 4.0;rowspan=""3"" 1.0;rowspan=""3"" yes;rowspan=""3"" yes;rowspan=""3"" 1.0
ol;li;Definition lists;Definition lists;Definition lists;Definition lists
Definition lists;Definition lists;dl;rowspan=""3"" 4.0;rowspan=""3"" 1.0;rowspan=""3"" yes
rowspan=""3"" yes;rowspan=""3"" 1.0;dt;dd;;
;;;;;
;;;;;
;;;;;
