; Austria; Belgium; CzechRepublic; Denmark; Estonia; Finland; France; Germany; Greece; Hungary; Iceland; Ireland; Italy; Luxembourg; Netherlands; Norway; Poland; Portugal; Romania; Russia&Belarus; Slovakia; Slovenia; Spain; Sweden; Switzerland&Liechtenstein; Turkey; Ukraine; UnitedKingdom
Built-up Area Begins; ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ; ; ; ;RU:BY:; ; ; ; ;CH:On main roads:On minor roads:LI:On main roads:On minor roads:;Vienna E7, d all Capitals; ; 
Place name as information only; ; ; ; ;; ; ; ; ; ; ; ; ; ; ; ; ; ; ;RU:BY:; ; ; ; ;NOT  USED;; ;
End of Built-up Area; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;RU:BY:; ;; ; ;CH:On main roads:On minor roads:LI:On main roads:On minor roads:;;; 
;Austria;Belgium;CzechRepublic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Luxembourg;Netherlands;Norway;Poland;Portugal;Romania;Russia&Belarus;Slovakia;Slovenia;Spain;Sweden;Switzerland&Liechtenstein;Turkey;Ukraine;UnitedKingdom
