Client;Publisher;First public release;Type;Latest stable version;License
Quiet Internet Pager (QIP);Ilgam Zyulkorneev;2004;Multi-protocol;Latest stable software release/Quiet Internet Pager;[[Freeware]]
QuteCom;QuteCom;2004;Multi-protocol;Latest stable software release/QuteCom;[[GPL]]
Ricochet;Invisible.im;2014-06;Single-protocol;Latest stable software release/Ricochet;BSD
Ring;Savoir-faire Linux Inc.;2014;Single-protocol;20180509;GPLv3
RingID;Ring Inc.;2015;Multi-protocol;4.1.4 4.1.1.4 4.2.2;[[Freeware]]
Riot.im;New Vector Limited;2016-07;Single-protocol;Latest stable software release/Riot.im;[[Apache License]]
Sicher;SHAPE GmbH;2014-06;Single-protocol;1.1;[[Freeware]]
Signal;Open Whisper Systems;2014-07;Single-protocol;Latest stable software release/Signal;[[GPLv3]]
Skype;Skype Technologies, a subsidiary of Microsoft Corporation;2003;Single-protocol;Latest stable software release/Skype;[[Freemium]] [[adware]]
Spark (XMPP client);Ignite Realtime;2006-09;Single-protocol;Latest stable software release/Spark (XMPP client);[[Apache License]]
Surespot;Surespot LLC;2013;Single-protocol;Latest stable software release/Surespot;[[GPLv3]]
Telegram;Telegram Messenger LLP;2013;Single-protocol;Latest stable software release/Telegram;[[GPLv2]], [[GPLv3]]
Tencent QQ;Tencent Holdings;1999-02;Single-protocol;See current releases;[[Adware]]
TextSecure;Open Whisper Systems;2010-05;Single-protocol;Discontinued (merged with RedPhone to become Signal);[[GPLv3]]
Threema;Threema GmbH;2012-12;Single-protocol;Latest stable software release/Threema;[[Proprietary software|Proprietary]] [[commercial software]]
Tkabber;Alexey Shchepin;2002-07-03;Single-protocol;1.1.2 (10);[[GPL]]
Tox;Tox Foundation;2013;Single-protocol; ;[[GPLv3]]
Trillian;Cerulean Studios;2000-07-01;Multi-protocol;Latest stable software release/Trillian;[[Freemium]] [[adware]]
Tuenti;Tuenti;2006;Multi-protocol; ;proprietary
Upptalk;Upptalk;2010;Dual-protocol;Latest stable software release/Upptalk;[[Freeware]]
Viber;Talmon Marco, Igor Magazinnik, Sani Maroli and Ofer Smocha;2010-12-02;Single-protocol;Latest stable software release/Viber;[[Freemium]]
WeChat;Tencent Holdings;2011-01;Single-protocol;Latest stable software release/WeChat;[[Freeware]]
WhatsApp;Facebook, Inc.;2009-08;Single-protocol;Latest stable software release/WhatsApp;[[Freeware]]
Wickr;Wickr Inc.;2012-06;Single-protocol;Latest stable software release/Wickr;[[Trialware]]
Windows Live Messenger;Microsoft;1999-07;Dual-protocol;Latest stable software release/Windows Live Messenger;Discontinued (was freeware)
Wire;Wire Swiss GmbH;2014-12-03;Single-protocol;iOS: 2.2 Android: 2.3 OS X: 2.5 Windows: 2.6ch Web: 2016-04-08;GPLv3
Xabber;Redsolution Inc.;2011;Single-protocol;iOS: 2.0.1;GPLv3
Xfire;Xfire Inc.;2004;Dual-protocol;Latest stable software release/Xfire;Discontinued (was freeware)
Yahoo! Messenger;Yahoo!;1999-06-21;Dual-protocol;Windows: 11.5.0.228OS X: 3.0.2Unix: 1.0.4;Discontinued (was freeware)
Zephyr;Project Athena;1987;Single-protocol;2.0;[[MIT License|MIT]]
Client;Publisher;First public release;Type;Latest stable version;License
