Camera model:Camera line:Manufacturer:Introduced:Weight:MOS/Sync:Noise Level
Eyemo 71K:Eyemo:Bell and Howell:1925:on:MOS:N/A
Arriflex 35-2C:Arriflex 35-II:Arri:1964:on, with empty magazine:MOS:N/A
Arriflex 35BL-1:Arriflex 35BL:Arri:1972:on, with empty magazine:Sync:26dB
Panaflex-X:Panaflex:Panavision:1974:on:Sync:<24dB
Arriflex 35BL-2:Arriflex 35BL:Arri:1975:on, with empty magazine:Sync:26dB
Panaflex Gold II:Panaflex:Panavision:1976:on, with short eyepiece:Sync:<24dB
Arriflex 35BL-3:Arriflex 35BL:Arri:1980:on, with empty magazine:Sync:22dB
Arriflex 35-3C:Arriflex 35-III:Arri:1982:on;   on, with empty magazine:MOS:N/A
Moviecam SuperAmerica:Moviecam SuperAmerica:Moviecam:1984:on:Sync:20dB
Arriflex 35BL-4:Arriflex 35BL:Arri:1986:on, with empty magazine:Sync:22dB
Panaflex Platinum:Panaflex:Panavision:1986:on:Sync:<22dB
Panaflex Panastar II:Panaflex Panastar:Panavision:1987:on:MOS:N/A
Arriflex 35BL-4s:Arriflex 35BL:Arri:1988:on, with empty magazine:Sync:20dB
Arriflex 535:Arriflex 535:Arri:1990:on, body only; on, with finder; on, with finder and empty magazine:Sync:19dB
Moviecam Compact:Moviecam Compact:Moviecam:1990:on:Sync:<20dB
Arriflex 535B:Arriflex 535:Arri:1992:on, with empty magazine:Sync:19dB
Arriflex 435:Arriflex 435:Arri:1995:on, without magazine:MOS:N/A
Arriflex 435ES:Arriflex 435:Arri:1995:on, without magazine:MOS:N/A
Moviecam SL:Moviecam SL:Moviecam:1995:on:Sync:25dB
Aaton 35-III:Aaton 35:Aaton:1997:on, with full magazine and onboard battery:Sync:30dB (4 perf), 26dB (3 perf)
Panaflex Millennium:Panaflex Millennium:Panavision:1997:on:Sync:<19dB
Panaflex Millennium XL:Panaflex Millennium:Panavision:1999:on:Sync:<23dB
Arricam LT:Arricam:Arri:2000:on, body only; on, with finder:Sync:<24dB
Arricam ST:Arricam:Arri:2000:on, body only; on, with finder:Sync:<20dB
Arriflex 435 Advanced:Arriflex 435:Arri:2001:on, without magazine:MOS:N/A
Aaton 35-3P:Aaton 35:Aaton:2002:on, with full magazine and onboard battery:Sync:30dB (4 perf), 24dB (3 perf)
Arriflex 235:Arriflex 235:Arri:2004:on, with viewfinder:MOS:N/A
Arriflex 435 Xtreme:Arriflex 435:Arri:2004:on, without magazine:MOS:N/A
Aaton Penelope:Aaton Penelope:Aaton:2008:on, with full magazine and onboard battery:Sync:23dB (3 perf), 22dB (2 perf)
