;Trident;Gecko;WebKit;Presto
translate;colspan=""4"" No;Datasets (data-*);rowspan=""3"" No;6.0
yes;2.8;contextmenu;8.0;No
No;hidden;2.0;Yes;2.7.70
contenteditable;5.5;1.9;Yes;2.0
spellcheck;rowspan=""2"" 6.0;1.8;incorrect;2.8
draggable;1.9.1;533;2.10.270;dropzone
no;no;yes;2.10.270;
Trident;Gecko;WebKit;Presto;
;;;;
