IDE;Developer;Latest stable release;Platform;License
Eclipse EPIC;EPIC Project Team;0.6.44 / April 18, 2012;Windows, Linux, macOS, FreeBSD, JVM, Solaris;[[Common Public License|CPL]]
Geany;Team;1.27 / March 13, 2016;Windows, Linux, macOS, FreeBSD, AIX, OpenBSD, Solaris, other Unix;[[GNU General Public License|GPL]]
KDevelop;KDevelop Team;Latest stable release/KDevelop;Cross-platform;[[GNU General Public License|GPL]]
Komodo IDE / Edit;ActiveState;9.0.1 / April 19, 2015;Cross-platform;proprietary
NetBeans;Sun Microsystems / Oracle;9.0 / 29;Cross-platform;[[Common Development and Distribution License|CDDL]], [[GPL]]
Padre;Padre Team;1.0 / November 8, 2013;Cross-platform;[[Perl license|Perl]]
SlickEdit;SlickEdit;October 2016;Windows, Linux, macOS, AIX, Solaris, HP-UX;Proprietary
