Syntax;Language(s)
""I said """"Hello, world!"""""";Ada, ALGOL 68, Excel, Fortran, Visual Basic, FreeBASIC, COBOL
 ;Fortran, rc, COBOL, SQL, Pascal, Object Pascal, APL, Smalltalk
