Sabayon Linux;Free, and nonfree;>;dunno;Portage, Entropy;ebuild, .tbz2;Calamares;yes;dunno;dunno
Scientific;Free, and nonfree;dunno;dunno;APT/yum;RPM;;yes;dunno;dunno
Slackware;Free, and nonfree;2292;dunno;installpkg, upgradepkg;tgz, .txz, .tlz, .tbz;;no;yes;yes
Slax;Free, and nonfree;2050;dunno;none;.lzm;;;dunno;dunno
SliTaz GNU/Linux;Free, and nonfree;3381;dunno;Tazpkg;.tazpkg;tazinst;yes;[[iPXE]];[[iPXE]]
Solus;Free, and nonfree;9500;dunno;eopkg;.eopkg;os-installer;yes;no;no
Source Mage GNU/Linux;Free, and nonfree;118;8876;Sorcery Package Manager;src;;yes;dunno;dunno
SUSE Linux;Free, and nonfree;24094;11385;YaST, Zypper;RPM;YaST;yes;dunno;dunno
Tiny Core Linux;Free, and nonfree;25160;dunno;ab, tce-load;tcz;tc-install, core2usb;yes;dunno;dunno
Tiny SliTaz;Free, and nonfree;50;dunno;Web site;tazpkg;;no;dunno;[[iPXE]]
Tor-ramdisk;Free, and nonfree;dunno;dunno;none;none;;no;dunno;dunno
Trisquel;Free only;52748;dunno;APT;.deb;Ubiquity;yes;yes;dunno
TurnKey GNU/Linux;Free, and nonfree;57290 plus ?30 custom packages;21041From the Sources.gz files in the [http://httpredir.debian.org/debian/dists/jessie/main/source/Sources.gz main], [http://httpredir.debian.org/debian/dists/jessie/contrib/source/Sources.gz contrib] and [http://httpredir.debian.org/debian/dists/jessie/non-free/source/Sources.gz non-free] sections of Debian Jessie. On the 2015-11-21, Debian Sid, the development release, have 24757 source packages. (currently TurnKey only supplies source code for custom packages);APT;.deb;DI-Live (custom fork of Debian Installer);no;no;no
Ubuntu, Kubuntu, Xubuntu;Free, and nonfree;73229;24474From the Sources.gz files in the [http://archive.ubuntu.com/ubuntu/dists/wily/main/source/Sources.gz main],[http://archive.ubuntu.com/ubuntu/dists/wily/universe/source/Sources.gz universe], [http://archive.ubuntu.com/ubuntu/dists/wily/multiverse/source/Sources.gz multiverse] and [http://archive.ubuntu.com/ubuntu/dists/wily/restricted/source/Sources.gz restricted] sections of Ubuntu Wily.;APT;.deb;Ubiquity;yes;yes;[[Preboot Execution Environment|PXE]]
Ututo;Free only;5000;dunno;UTUTO Package Manager;ebuild;dunno;dunno;no;no
Vector Linux;Free, and nonfree;dunno;dunno;slapt-get, gslapt, installpkg;tgz;;yes;dunno;dunno
Void Linux;Free, nonfree and multilib;6000;6719;xbps;.xbps;ncurses script;yes;yes;no
XBMC Live;Free, and nonfree;dunno;dunno;APT;.deb;;no;dunno;dunno
Zentyal;Free, and nonfree;dunno;dunno;APT;.deb;dpkg;yes;dunno;dunno
Zenwalk;Free, and nonfree;2000;dunno;netpkg, installpkg, upgradepkg;tgz, txz;;yes;dunno;dunno
Distribution;Free software repositories;Approximate number of pre-compiled packages;Approximate number of source packages;Default package management tools;Package format;Default installer;Graphical installation process;Netinstall;Netboot
