Ville (Période 1961-1990);Ensoleillement;Pluie;Neige;Orage;Brouillard
Paris;formatnum:1630 h/an;mm/an;15 j/an;19 j/an;13 j/an
Nice;formatnum:2668 h/an;mm/an;1 j/an;31 j/an;1 j/an
Strasbourg;formatnum:1633 h/an;mm/an;30 j/an;29 j/an;65 j/an
Rennes;formatnum:1626 h/an;mm/an;9 j/an;15 j/an;69 j/an
Moyenne nationale;formatnum:1973 h/an;mm/an;14 j/an;22 j/an;40 j/an
