Name;Users;Projects;Alexa rank (lower = more popular)
Assembla;unk;526581;26366 y
Bitbucket;5000000;unk;696 y
GitHub;24000000;69000000;60 y
GitLab;100000;546000GitLab is not fundamentally organized by projects, so the count is somewhat difficult.;2422 y
GNU Savannah;77137;3825;50323 y
Launchpad;3965288;40881;6480 y
OSDN;54826;6294;8592 y
Ourproject.org;6353;1846;1278995 y
Phabricator;unk;unk;unk
SourceForge;3700000;500000;347 y
Name;Users;Projects;Alexa rank (lower = more popular)
