Graphics;Launch;Market;Chipset;Code name;Device id.;Core renderclock (MHz);pipelines;Shader model(vertex/pixel);API support;API support;API support;Memory bandwidth (GB/s);DVMT (MiB);Hardware acceleration;Hardware acceleration;Hardware acceleration
Graphics;Launch;Market;Chipset;Code name;Device id.;Core renderclock (MHz);pipelines;Shader model(vertex/pixel);Direct3D;OpenGL;OpenCL;Memory bandwidth (GB/s);DVMT (MiB);MPEG-2;VC-1;AVC
Extreme Graphics;2002;Desktop;845G845GL845GV;Brookdale;2562;200;2;3.0 (SW) / No;6.0 (full)9.0 (some features, no hardware shaders);1.3  ES1.1Linux;rowspan=6 No;2.1;64;MC;rowspan=6 No;rowspan=6 No
Extreme Graphics;2001;Mobile;830M830MG;Almador;3577;166;2;3.0 (SW) / No;6.0 (full)9.0 (some features, no hardware shaders);1.3  ES1.1Linux;1;Extreme Graphics 2;64;MC;2003;Desktop
865G865GV;Springdale;2572;266;6.4;Mobile;852GM852GME852GMV;2;3.0 (SW) / No;6.0 (full)9.0 (some features, no hardware shaders);1.3  ES1.1Linux;Montara;3582;64;MC;133–266;2.1–2.7
Extreme Graphics 2;2003;854;358E;855GM  855GME;3582;;2;3.0 (SW) / No;6.0 (full)9.0 (some features, no hardware shaders);1.3  ES1.1Linux;;;64;MC;;
Extreme Graphics 2;2003;Mobile;;133–266;2.1–2.7;;2;3.0 (SW) / No;6.0 (full)9.0 (some features, no hardware shaders);1.3  ES1.1Linux;;;64;MC;;
Extreme Graphics 2;2003;Mobile;;133–266;2.1–2.7;;2;3.0 (SW) / No;6.0 (full)9.0 (some features, no hardware shaders);1.3  ES1.1Linux;;;64;MC;;
