Name;License;Deployment;Platforms
10SCAPE;Proprietary;SaaS;All
Docusnap;Proprietary;Desktop;Windows
Graphical Networks;Proprietary;Desktop;Windows
Netbrain Tech;Proprietary;Desktop;Windows
