Shell;Usual environment;Usually invoked;Introduced;Platform-independent;Default login shell in;Default script shell in;License;Source code availability;User interface;Mouse support;Unicode support;ISO 8601 support;Console redirection;Stream redirection;Configurability;Startup/shutdown scripts;Batch scripts;Logging;available as statically linked, independent single file executable
OS/2 CMD.EXE;OS/2;CMD;1987;no;OS/2;OS/2;[[IBM]]-[[Software license agreement|EULA]];no;Text-based CLI;no;no;no;no;Yes (<tt>stdin</tt>, <tt>stdout</tt>, <tt>stderr</tt>);dunno;partial (only via /K startup option);yes (via CALL command or /C and /K startup options);no;dunno
Windows CMD.EXE;Win32;CMD;1993;no;Windows NT, 2000, XP, Server 2003, Vista;Windows NT, 2000, XP, Server 2003, Vista;[[Microsoft|MS]]-[[Software license agreement|EULA]];no;Text-based CLI;no;partial (CHCP 65001 for UTF-8, but program arguments are still encoded in local codepage);no;no;yes;yes (via registry, startup parameters, and environment variables);yes (automatic via registry, or explicitly via /K startup option);yes (via CALL command or /C and /K startup options);no;yes
4DOS, NDOS;DOS, Windows 95, 98, SE, ME;4DOS, NDOS;1989 (1986);No (not bound to a specific OS vendor or version);optional;optional;[[MIT License]], with restrictions;yes;Text-based CLI with TUI extensions;yes (popups, help system, %_MOUSE internal variable, INKEY /M command);no;yes;yes (via CTTY con:, except for DRAWBOX, DRAWLINE, DRAWVLINE, LIST, SCREEN, SCRPUT, SELECT, VSCRPUT commands and file/ directory coloring);Yes (<tt>stdin</tt>, <tt>stdout</tt>, <tt>stderr</tt>, <tt>stdout+stderr</tt>);yes (via 4DOS.INI/NDOS.INI file, startup parameters, environment variables, SETDOS command);yes (automatic \AUTOEXEC.BAT for primary shell and 4START.BTM/4START.BAT as well as 4EXIT.BTM/4EXIT.BAT for any shell, or explicitly via /P, /P:dir\filename.ext or /K startup options);yes (via CALL command or /C and /K startup options);yes;yes
4OS2;OS/2;4OS2;1992;No (not bound to specific OS/2 versions);optional;optional;Freeware;yes;Text-based CLI;no;no;no;no;Yes (<tt>stdin</tt>, <tt>stdout</tt>, <tt>stderr</tt>, <tt>stdout+stderr</tt>);yes (via 4OS2.INI file, startup parameters, environment variables, SETDOS command);yes (automatic via 4START.CMD/4START.BTM as well as 4EXIT.CMD/4EXIT.BTM files, or explicitly via /K startup.cmd option);yes (via CALL command or /C and /K startup options);yes;dunno
TCC (formerly 4NT);Win32;TCC;1993;No (not bound to specific NT versions);optional;optional;[[Shareware]];no;Text-based CLI (Take Command: GUI);yes (console mouse, popups, help system, %_XMOUSE, %_YMOUSE internal variables, INKEY /M command);yes;yes;no;Yes (<tt>stdin</tt>, <tt>stdout</tt>, <tt>stderr</tt>, <tt>stdout+stderr</tt>);yes (via registry, TCMD.INI/4NT.INI file, startup parameters, environment variables, SETDOS command);yes (automatic via registry and TCSTART/4START as well as TCEXIT/4EXIT, or explicitly via /K startup option);yes (via CALL command or /C and /K startup options);yes;no
VMS DCL;OpenVMS;Automatically for login/interactive process;1977?;yes;VMS;VMS;Proprietary, bundled in VMS;by special license only;Text-based CLI;with DECwindows/Motif;yes;Yes, at least to 1988 standard;yes;Yes (<tt>sys$input</tt>, <tt>sys$output</tt> assignment);Yes (via symbols, logical names, and options);Yes (SYS$MANAGER:SYLOGIN.COM and user defined LOGIN.COM);yes;yes;no
PowerShell;.NET;PowerShell;2006;yes;Windows Server 2008, 7, Vista, XP;Windows Server 2008, 7;[[MIT license|MIT]]-style;yes;Graphical CLI;yes;yes;yes;no;yes;Yes (via variables and options);Yes (%USERPROFILE%\Documents \WindowsPowerShell\Microsoft.PowerShell_profile.ps1);Yes (PowerShell feature);yes;no
rc;Plan 9, POSIX;rc;1989;yes;Plan 9, Version 10 Unix;Plan 9, Version 10 Unix;[[Lucent Public License]];dunno;dunno;dunno;yes;dunno;dunno;yes;dunno;dunno;dunno;dunno;yes
BeanShell;Java;dunno;2005;yes;dunno;dunno;[[LGPL]];dunno;dunno;dunno;yes;dunno;dunno;yes;dunno;dunno;dunno;dunno;no
fish;POSIX;fish;2005;yes;GhostBSD;dunno;[[GPL]];yes;Text-based CLI;dunno;yes;dunno;dunno;Yes (arbitrary <tt>fds</tt>);Yes (through environment variables and via web interface through <tt>fish_config</tt>);Yes (<tt>/etc/fish/config.fish</tt> and <tt>~/.config/fish/config.fish</tt>);Yes (Unix feature);Yes (<tt>~/.config/fish/fish_history*</tt>);dunno
Shell;Usual environment;Usually invoked;Introduced;Platform-independent;Default login shell in;Default script shell in;License;Source code availability;User interface;Mouse support;Unicode support;ISO 8601 support;Console redirection;Stream redirection;Configurability;Startup/shutdown scripts;Batch scripts;Logging;available as statically linked, independent single file executable
