API;Desktop support;Embedded system support;License
Direct3D;Microsoft Windows, XboxJune 2014;Windows Embedded, Windows CE (through Direct3D Mobile)June 2014;Proprietary
OpenGL;Cross-platform;Cross-platform through OpenGL ES;Open standard, some features patented
