IDE;Developer;Latest stable release;Platform;License
Aptana Studio with integrated RadRails plugin (Eclipse);Aptana, Inc.;3.5.0 / December 27, 2013;Windows, Linux, macOS, FreeBSD, JVM, Solaris;[[GNU General Public License|GPL]], proprietary
Eclipse DLTK Ruby Plugin;Eclipse Foundation;5.0.0 / June 6, 2013;x86;[[Eclipse Public License|EPL]]
eric;Detlev Offenbach;6.1.4  / April 9, 2016;Cross-platform;[[GNU General Public License|GPLv3]] ""or later""
Komodo IDE / Edit;ActiveState;9.0.1 / April 19, 2015;Cross-platform;proprietary
NetBeans;Thomas Enebo (JRuby co-lead);9.0 / 29;Cross-platform;[[CDDL]] and [[GNU General Public License|GPL]]
RubyMine (IntelliJ IDEA);JetBrains;2017.1 / Apr 27, 2017;Windows, Linux, macOS, FreeBSD, OpenBSD, Solaris;proprietary
SlickEdit;SlickEdit;October 2016;Windows, Linux, macOS, AIX, Solaris, HP-UX;Proprietary
