;Client (library);Server (library);Version compared;Protocol (spec) version support;Protocol test report;License;Implementation: language, environment;API: language, environment;Self-hosted server;Text message support;Binary message support;API message-based;API frame-based;API streaming input-output;Flow-control framework;Automatic pongs for pings;Automatic heartbeat pings;Manual pings-pongs;Frame size limit
PowerWebSockets;yes;yes;15.176.518826 Jun 2015;RFC 6455;Test report;[[Commercial software|Commercial]];.NET;.NET Framework, .NET Compact Framework, Xamarin. iOS, Xamarin.Android, Windows Phone, Silverlight, Mono;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;memory-limited, configurable
Push Technology Diffusion;yes;yes;4.6.1;RFC 6455;;[[Commercial software|Commercial]];Java;JavaScript, Flash/Flex, Silverlight, Objective-C & iOS, Java, Java & Android, .NET, Java J2ME & BlackBerry, C/C++, Node.js;yes;yes;yes;yes;no;yes;yes;yes;yes;no;memory-limited, configurable
QtWebSockets;yes;yes;1.012 Nov 2013;RFC 6455;;[[GNU Lesser General Public License|LGPL]];C++, Qt;Qt;yes;yes;yes;yes;yes;no;yes;yes;yes;yes;memory-limited, configurable
Resin;no;yes;4.02629 Feb 2012;RFC 6455;;[[GNU General Public License|GPL]], commercial;Java, C;Java;;yes;yes;yes;no;yes;no;yes;no;no;memory-limited, configurable
WebSocketListener;no;yes;2.1.324 Nov 2014;RFC 6455;;[[MIT License|MIT]];.NET, Mono;.NET, Mono;yes;yes;yes;yes;no;yes;yes;yes;yes;no;Configurable
Wt;no;yes;3.2.030 Nov 2011;0,7,8,13 (17);[? Report];[[GNU General Public License|GPL]], commercial;C++, Boost Asio;C++;;yes;yes;no;no;no;yes;yes;yes;no;memory-limited, configurable
XSockets.NET;yes;yes;5.*;RFC 6455;;Commercial;.NET;Server-languages: Windows (.NET), Unix-Linux (Mono)Client-languages: JavaScript, .NET, Mono;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;memory-limited, configurable
RIWA Gateway;yes;yes;2.01;RFC 6455;;Commercial;Java;Java, Android, iOS, JavaScript;yes;yes;yes;yes;no;yes;no;yes;no;no;memory-limited, configurable
µWebSockets;no;yes;v0.14.028 Mar 2017;RFC 6455;Test report;[[Zlib License|Zlib]];C++, epoll, Libuv, Boost Asio;C++, JavaScript, Node.js;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;memory-limited, configurable
Boost.Beast;yes;yes;9430 July 2017;RFC 6455;Test report;[[Boost (C++ libraries)#License|Boost]];C++, Boost Asio;C++;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;unlimited (packets streamed to user code), permessage-deflate also unlimited (chunked)
libwebsockets;yes;yes;2.416 Oct 2017;RFC 6455 + RFC 7692;Test report;[[License|LGPL2 + SLE]];C, libuv, libev, libevent, poll, external poll loop integration, OpenSSL, mbedTLS;C, HTML5, JavaScript;yes;yes;yes;yes;yes;yes, yes;yes;yes;yes;yes;unlimited (packets streamed to user code), permessage-deflate also unlimited (chunked)
websocket++;yes;yes;0.7.022 Feb, 2016;RFC 6455;;BSD;C++11;C++11;?;?;?;?;?;?;?;?;?;?;?
facil.io;no;yes;0.4.22 Jun 2017;RFC 6455;;[[MIT License|MIT]];C;C;yes;yes;yes;yes;yes;yes, yes;yes;yes;yes;yes;configurable client to server limits. unlimited (chucked) server to client.
