; Trident; Gecko; WebKit; KHTML; Presto
Images;Images;Images;Images;Images;Images
img;4.0;1.0;yes;yes;1.0
Generic inclusion;Generic inclusion;Generic inclusion;Generic inclusion;Generic inclusion;Generic inclusion
object;4.0note;rowspan=""2"" 1.0;rowspan=""2"" yes;rowspan=""2"" yes;rowspan=""2"" 1.0
param;6.0;Image maps;Image maps;Image maps;Image maps
Image maps;Image maps;map;4.0;rowspan=""2"" 1.0;rowspan=""2"" yes
rowspan=""2"" yes;rowspan=""2"" 1.0;area;5.0;;
;;;;;
