Software;Creates?;Modifies?;Mounts?;Restores?;Extracts?;Burns?;Input;Output;OS;License;Last_Update_Release
MagicISO;yes;yes;With [[MagicDisc]];yes;yes;Yes;Supported by both MagicISO and MagicDisc: ISO, BIN/CUE, IMA/IMG, CIF, NRG, IMG/CCD, MDF/MDS, VCD, VaporCD, P01/MD1/XA, VC4/000, VDI, C2D, BWI/BWT, CDI, TAO/DAO, PDI. Supported by MagicISO only: DMG, FLP, DSK, BFI, BIF, WBT;ISO, BIN/CUE, UIF, NRG, DMG;Windows;[[Shareware]]MagicDisc is [[Freeware]];5.5 (build 281)2/21/2010
mount;no;no;yes;no;no;?;ISO;N/A;Linux;[[Free software]] ([[GPL]]);
Nero Multimedia Suite;yes;no;no;yes;no;?;ISO, NRG;ISO, NRG;Windows;[[Shareware]];
Nero Burning ROM;yes;no;no;yes;no;?;ISO, NRG;ISO, NRG;Windows;License]];
Nero Linux;yes;no;no;yes;no;?;ISO, NRG;ISO, NRG;Linux;[[Shareware]] (Discontinued);
Norton Ghost;yes;no;yes;yes;dunno;?;GHO, GHS, VMDK, V2I, IV2I, PQI;GHO, GHS, VMDK;Windows;[[Shareware]];
OSFmount;no;yes;yes;dunno;dunno;?;IMG, DD, ISO, BIN/CUE, 00n, NRG, SDI, AFF(v3), AFM, AFD, VMDK, E01, S01, VHD;dunno;Windows;[[Freeware]];
Partimage;yes;no;no;yes;no;?;Compressed file system image: Ext2, Ext3, Reiserfs, FAT16, FAT32, HPFS, JFS, Xfs, UFS, HFS and NTFS;Ext2, Ext3, Reiserfs, FAT16, FAT32, HPFS, JFS, Xfs, UFS, HFS and NTFS;Linux;[[Free software]] ([[GPL]]);
PeaZip;no;no;no;no;yes;?;DMG, ISO, VHD, WIM;N/A;Windows, Linux;[[Free software]] ([[GNU Lesser General Public License|LGPL]] v3);
Roxio Creator;Yes;no;no;yes;no;?;ISO, C2D, BIN/CUE, GI;ISO, GI;Windows;[[Proprietary software|Proprietary]]<br />[[commercial software|commercial]];
Roxio Toast;no;no;no;yes;no;?;ISO, BIN/CUE, IMG, DMG, CDR, NRG;N/A;Mac OS X;[[Proprietary software|Proprietary]]<br />[[commercial software|commercial]];
UltraISO;yes;yes;yes;yes;yes;?;BIN/CUE, BWI/BWT/B5T/B5I/B6T/B6I, C2D, CDI, CIF, DAA, DMG, FCD, G2D, GCD/GI, IMA, IMG/CCD, IML, ISO/ISZ, LCD, MDF/MDS, NCD, NRG, P01/MD1/XA, PDI, PXI, TAO/DAO, UIF, VaporCD, VC4/000, VCD, VDI, XMD/XMF;BIN/CUE, CCD/IMG/SUB, ISO/ISZ, MDF/MDS, NRG;Windows;[[Trialware]];9.7.1.351924/01/2018
Virtual CloneDrive;no;no;yes;no;no;?;ISO, BIN, IMG, UDF, DVD, CCD;n/a;Windows;[[Freeware]];
Virtual CD-ROM Control Panel;no;no;yes;no;no;?;ISO;n/a;Windows;[[Freeware]];
VirtualDrive Pro;no;no;yes;no;no;?;N/A;N/A;Windows;[[Shareware]];
WADK;yes;yes;yes;yes;No;?;WIM, WSM;WIM, WSM;Windows NT;[[Freeware]]"; DISM component is included with Windows;
WinCDEmu;yes;no;yes;no;no;?;ISO, BIN, NRG, MDS/MDF, CCD, IMG;N/A;Windows;[[Free software]] ([[LGPL]]);
Windows Explorer;VHD only;?;yes;ISO only;{?;?;ISO, VHD;VHD;Windows NT;Part of Windows;
WinRAR;no;no;no;no;yes;?;ISO;N/A;Windows;[[Shareware]];
WinZip;no;no;no;no;yes;?;ISO;N/A;Windows;[[Shareware]];
Software;Creates?;Modifies?;Mounts?;Restores?;Extracts?;;Input?;Output?;OS;License;
