; Trident; Gecko; WebKit; KHTML; Presto; Prince XML; Antenna House
XLink;5.0;partialnote;no;no;partial;partialnote;partial
XML Base;no;1.0;no;yes;yes;6.0;yes
XPointer;Dunno;partial;no;no;no;Dunno;no
