; Trident; Gecko; WebKit; KHTML; Presto; Prince XML; Antenna House
DTD;no;partialnote;no;no;partialnote;3.0;depends
XML Schema;Dunno;partial;rowspan=""2"" no;Dunno;rowspan=""2"" no;Dunno;depends
RELAX NG;Dunno;no;Dunno;Dunno;depends;;
