 Graphics ; Launch ; Market; Processor; Code name; Device ID; Clock rate; Clock rate; Core config1; API support; API support; API support; API support; eDRAM  (MiB);  bandwidth  (GB/s)
Graphics;Launch;Market;Processor;Code name;Device ID;Min  (MHz);Max  (MHz);Core config1;Direct3D;OpenGL;OpenCL;Vulkan;eDRAM  (MiB);bandwidth  (GB/s)
1050;2015;Mobile;191B;Skylake  (Gen9);350;192:24:3  (GT2);Core i5-6500TCore i5-6600TCore i7-6700;1100;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
Core i3-6300Core i3-6320Core i5-6600Core i5-6600KCore i7-6700K;2015;Mobile;191B;Skylake  (Gen9);350;192:24:3  (GT2);1150;HD Graphics P530;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
Workstation;2015;Mobile;191B;Skylake  (Gen9);350;192:24:3  (GT2);Xeon E3-1268L v5;191D;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
1000;2015;Mobile  Workstation;Xeon E3-1505L v5;Skylake  (Gen9);350;192:24:3  (GT2);Xeon E3-1505M v5  Xeon E3-1535M v5;1050;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
Workstation;2015;Xeon E3-1225 v5;400;Skylake  (Gen9);350;192:24:3  (GT2);1150;Xeon E3-1235L v5;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
?;2015;Xeon E3-1245 v5  Xeon E3-1275 v5;1150;Skylake  (Gen9);350;192:24:3  (GT2);Iris Graphics 540;Mobile;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
Core i5-6260U;2015;1926;300;Skylake  (Gen9);350;192:24:3  (GT2);950;384:48:6  (GT3);12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
64;2015;Core i5-6360U;1000;Skylake  (Gen9);350;192:24:3  (GT2);Core i7-6560UCore i7-6650UCore i7-6660U;1050;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
Iris Graphics 550;2015;Mobile;Core i3-6157U  Core i3-6167U;Skylake  (Gen9);350;192:24:3  (GT2);1927;1000;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
Core i5-6267U;2015;1050;191D;Skylake  (Gen9);350;192:24:3  (GT2);1000;Core i5-6287UCore i7-6567U;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
1100;2015;Iris Pro Graphics P555;191D;Skylake  (Gen9);350;192:24:3  (GT2);2016;Workstation;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
Xeon E3-1558L v5;2015;192D;191D;Skylake  (Gen9);650;192:24:3  (GT2);1000;128;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
Iris Pro Graphics 580;2015;Mobile;191D;Skylake  (Gen9);Core i5-6350HQ;192:24:3  (GT2);193B;350;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
900;2015;576:72:9  (GT4);191D;Skylake  (Gen9);Core i7-6770HQ;192:24:3  (GT2);950;Core i7-6870HQ;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
1000;2015;Core i7-6970HQ;1050;Skylake  (Gen9);Desktop;Core i5-6585R;1100;Core i5-6685RCore i7-6785R;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;1150;Iris Pro Graphics P580
Workstation;2015;Mobile;1926;Skylake  (Gen9);300;384:48:6  (GT3);64;Xeon E3-1578L v5;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;193D;700
1000;2015;Mobile;1926;Skylake  (Gen9);300;384:48:6  (GT3);64;Mobile  Workstation;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;Xeon E3-1515M v5;350
Xeon E3-1545M v5;2015;1050;Xeon E3-1575M v5;Skylake  (Gen9);300;384:48:6  (GT3);64;1100;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;Workstation;Xeon E3-1565L v5
Iris Graphics 550;2015;Mobile;1927;Skylake  (Gen9);300;384:48:6  (GT3);64;193A;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;1050;Xeon E3-1585L v5  Xeon E3-1585 v5
Iris Graphics 550;2015;Mobile;1927;Skylake  (Gen9);300;384:48:6  (GT3);64;1150;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;UHD Graphics 600;2017
