 Graphics ; Launch ; Market; Processor; Code name; Device ID; Clock rate; Clock rate; Core config1; API support; API support; API support; API support; eDRAM  (MiB);  bandwidth  (GB/s)
Graphics;Launch;Market;Processor;Code name;Device ID;Min  (MHz);Max  (MHz);Core config1;Direct3D;OpenGL;OpenCL;Vulkan;eDRAM  (MiB);bandwidth  (GB/s)
;2017;Mobile  Workstation;591D;Kaby Lake  (Gen9p5);350;192:24:3  (GT2);38.4;;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
;2017;;591D;Kaby Lake  (Gen9p5);350;192:24:3  (GT2);38.4;;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
;2017;;;Kaby Lake  (Gen9p5);;;;;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;;
;2017;;;Kaby Lake  (Gen9p5);;;;;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;;
;2017;;;Kaby Lake  (Gen9p5);;;;;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;;
;2017;;;Kaby Lake  (Gen9p5);;;;;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;;
;2017;;;Kaby Lake  (Gen9p5);;;;;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;;
;2017;;;Kaby Lake  (Gen9p5);;;;;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;;
;2017;;;Kaby Lake  (Gen9p5);;;;;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;;
;2017;;;Kaby Lake  (Gen9p5);;;;;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
