Rennes – Saint-Jacques-de-la-Lande - Période moyenne 1981-2010 sauf insolation 1961-1990;Rennes – Saint-Jacques-de-la-Lande - Période moyenne 1981-2010 sauf insolation 1961-1990;Rennes – Saint-Jacques-de-la-Lande - Période moyenne 1981-2010 sauf insolation 1961-1990;Rennes – Saint-Jacques-de-la-Lande - Période moyenne 1981-2010 sauf insolation 1961-1990;Rennes – Saint-Jacques-de-la-Lande - Période moyenne 1981-2010 sauf insolation 1961-1990;Rennes – Saint-Jacques-de-la-Lande - Période moyenne 1981-2010 sauf insolation 1961-1990;Rennes – Saint-Jacques-de-la-Lande - Période moyenne 1981-2010 sauf insolation 1961-1990;Rennes – Saint-Jacques-de-la-Lande - Période moyenne 1981-2010 sauf insolation 1961-1990;Rennes – Saint-Jacques-de-la-Lande - Période moyenne 1981-2010 sauf insolation 1961-1990;Rennes – Saint-Jacques-de-la-Lande - Période moyenne 1981-2010 sauf insolation 1961-1990;Rennes – Saint-Jacques-de-la-Lande - Période moyenne 1981-2010 sauf insolation 1961-1990;Rennes – Saint-Jacques-de-la-Lande - Période moyenne 1981-2010 sauf insolation 1961-1990;Rennes – Saint-Jacques-de-la-Lande - Période moyenne 1981-2010 sauf insolation 1961-1990;Mois
J;F;M;A;M;Jn;Jt;A;S;O;N;D;Année;Températures maximales (en °C)
8,7;9,6;13,0;15,2;18,9;22,2;24,5;24,3;21,6;17,0;12,1;9,1;°C;Températures minimales (en °C)
3,2;2,6;4,8;5,9;9,3;11,9;13,8;13,7;11,4;9.1;5,5;3,3;°C;Précipitations (hauteur moyenne en mm)
67,6;49,1;51,6;50,9;67,2;46,7;49,1;37,8;59,0;74,8;67,5;72,7;mm;Nombre de jours avec précipitations (> mm)
11,5;9,4;9,8;9,9;9,8;7,3;7,3;6,4;7,7;11,1;11,7;12,4;115 jrs;Nombre d'heures d'ensoleillement
69;92;130;170;195;217;224;211;180;122;84;67;1761 h;Source : Météo France
Source : Météo France;Source : Météo France;Source : Météo France;Source : Météo France;Source : Météo France;Source : Météo France;Source : Météo France;Source : Météo France;Source : Météo France;Source : Météo France;Source : Météo France;Source : Météo France;;
